locus_tag	ftype	length_bp	gene	EC_number	COG	product
DHLAKHBD_00045	CDS	306				hypothetical protein
DHLAKHBD_00046	CDS	189				hypothetical protein
DHLAKHBD_00047	CDS	144				hypothetical protein
DHLAKHBD_00048	CDS	930		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
DHLAKHBD_00049	CDS	1323	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
DHLAKHBD_00050	CDS	726	ompR			Transcriptional regulatory protein OmpR
DHLAKHBD_00051	CDS	516				hypothetical protein
DHLAKHBD_00052	CDS	402				hypothetical protein
DHLAKHBD_00053	CDS	618				hypothetical protein
DHLAKHBD_00054	CDS	600				hypothetical protein
DHLAKHBD_00055	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
DHLAKHBD_00056	CDS	213				hypothetical protein
DHLAKHBD_00057	CDS	1140	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
DHLAKHBD_00058	CDS	657				hypothetical protein
DHLAKHBD_00059	CDS	852	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
DHLAKHBD_00060	CDS	4044	cobN_1	6.6.1.2		Aerobic cobaltochelatase subunit CobN
DHLAKHBD_00061	CDS	780	folP1	2.5.1.15	COG0294	Dihydropteroate synthase
DHLAKHBD_00062	CDS	699	tpiA	5.3.1.1		Triosephosphate isomerase
DHLAKHBD_00063	CDS	198				hypothetical protein
DHLAKHBD_00064	CDS	1779		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
DHLAKHBD_00065	CDS	306				hypothetical protein
DHLAKHBD_00066	CDS	165				hypothetical protein
DHLAKHBD_00067	CDS	90				hypothetical protein
DHLAKHBD_00068	CDS	675				hypothetical protein
DHLAKHBD_00069	CDS	3309	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
DHLAKHBD_00070	CDS	636				hypothetical protein
DHLAKHBD_00071	CDS	369	rsfS			Ribosomal silencing factor RsfS
DHLAKHBD_00072	CDS	978				hypothetical protein
DHLAKHBD_00073	tRNA	76				tRNA-Met(cat)
DHLAKHBD_00074	CDS	192				hypothetical protein
DHLAKHBD_00075	CDS	291				hypothetical protein
DHLAKHBD_00076	CDS	549				hypothetical protein
DHLAKHBD_00077	CDS	771				hypothetical protein
DHLAKHBD_00078	CDS	273				hypothetical protein
DHLAKHBD_00079	CDS	342				hypothetical protein
DHLAKHBD_00080	CDS	291				hypothetical protein
DHLAKHBD_00081	CDS	150				hypothetical protein
DHLAKHBD_00082	CDS	786				hypothetical protein
DHLAKHBD_00083	CDS	180				hypothetical protein
DHLAKHBD_00084	CDS	315				hypothetical protein
DHLAKHBD_00085	CDS	813				hypothetical protein
DHLAKHBD_00086	CDS	1632				hypothetical protein
DHLAKHBD_00087	CDS	480				hypothetical protein
DHLAKHBD_00088	CDS	177				hypothetical protein
DHLAKHBD_00089	CDS	345				hypothetical protein
DHLAKHBD_00090	CDS	1152				hypothetical protein
DHLAKHBD_00091	CDS	1203	cefD	5.1.1.17	COG0520	Isopenicillin N epimerase
DHLAKHBD_00092	CDS	588				hypothetical protein
DHLAKHBD_00093	CDS	492				hypothetical protein
DHLAKHBD_00094	CDS	1539	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
DHLAKHBD_00095	CDS	312				hypothetical protein
DHLAKHBD_00096	CDS	267	yidD			Putative membrane protein insertion efficiency factor
DHLAKHBD_00097	CDS	609	rpsD		COG0522	30S ribosomal protein S4
DHLAKHBD_00098	CDS	1170	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
DHLAKHBD_00099	CDS	1473	besB	4.5.1.-		L-2-amino-4-chloropent-4-enoate dechlorinase/desaturase
DHLAKHBD_00100	CDS	987	srpG	2.5.1.47	COG0031	Cysteine synthase
DHLAKHBD_00101	CDS	1116	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
DHLAKHBD_00102	CDS	285				hypothetical protein
DHLAKHBD_00103	CDS	1848	kimA		COG0531	Potassium transporter KimA
DHLAKHBD_00104	CDS	2001				hypothetical protein
DHLAKHBD_00105	CDS	1299	pdhC	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
DHLAKHBD_00106	CDS	360				hypothetical protein
DHLAKHBD_00107	CDS	204				hypothetical protein
DHLAKHBD_00108	CDS	774				hypothetical protein
DHLAKHBD_00109	CDS	444				hypothetical protein
DHLAKHBD_00110	CDS	1995		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
DHLAKHBD_00111	CDS	636	lipB	2.3.1.181	COG0321	Octanoyltransferase
DHLAKHBD_00112	CDS	588	hpf		COG1544	Ribosome hibernation promotion factor
DHLAKHBD_00113	CDS	684	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
DHLAKHBD_00114	CDS	804	recO			DNA repair protein RecO
DHLAKHBD_00115	CDS	1416			COG0477	putative MFS-type transporter
DHLAKHBD_00116	CDS	1179	epsD	2.4.-.-		Putative glycosyltransferase EpsD
DHLAKHBD_00117	CDS	825	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
DHLAKHBD_00118	CDS	585	sepF_1		COG1799	Cell division protein SepF
DHLAKHBD_00119	CDS	744			COG0325	Pyridoxal phosphate homeostasis protein
DHLAKHBD_00120	CDS	228				hypothetical protein
DHLAKHBD_00121	CDS	915	ecfT		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
DHLAKHBD_00122	CDS	1368	der_1		COG1160	GTPase Der
DHLAKHBD_00123	CDS	492				hypothetical protein
DHLAKHBD_00124	CDS	165				hypothetical protein
DHLAKHBD_00125	CDS	231				hypothetical protein
DHLAKHBD_00126	CDS	126				hypothetical protein
DHLAKHBD_00127	CDS	405				hypothetical protein
DHLAKHBD_00128	CDS	1011	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
DHLAKHBD_00129	CDS	651				hypothetical protein
DHLAKHBD_00130	CDS	765	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
DHLAKHBD_00131	CDS	558	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
DHLAKHBD_00132	CDS	615				hypothetical protein
DHLAKHBD_00133	CDS	450	aroQ	4.2.1.10		3-dehydroquinate dehydratase
DHLAKHBD_00134	tRNA	84				tRNA-Tyr(gta)
DHLAKHBD_00135	tRNA	74				tRNA-Thr(ggt)
DHLAKHBD_00136	CDS	270				hypothetical protein
DHLAKHBD_00137	CDS	180				hypothetical protein
DHLAKHBD_00138	CDS	228				hypothetical protein
DHLAKHBD_00139	CDS	1395	alsT		COG1115	Amino-acid carrier protein AlsT
DHLAKHBD_00140	CDS	1452		3.2.1.54		Cyclomaltodextrinase
DHLAKHBD_00141	CDS	141				hypothetical protein
DHLAKHBD_00142	CDS	1380	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
DHLAKHBD_00143	CDS	1446				hypothetical protein
DHLAKHBD_00144	CDS	1485	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
DHLAKHBD_00145	CDS	1041				hypothetical protein
DHLAKHBD_00146	CDS	234	psaE			Photosystem I reaction center subunit IV
DHLAKHBD_00147	CDS	876	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
DHLAKHBD_00148	CDS	624	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
DHLAKHBD_00149	CDS	738	mtnC	3.1.3.77		Enolase-phosphatase E1
DHLAKHBD_00150	CDS	1077	psbA	1.10.3.9		Photosystem II protein D1
DHLAKHBD_00151	CDS	204				hypothetical protein
DHLAKHBD_00152	CDS	597				hypothetical protein
DHLAKHBD_00153	CDS	153				hypothetical protein
DHLAKHBD_00154	CDS	906				hypothetical protein
DHLAKHBD_00155	CDS	210				hypothetical protein
DHLAKHBD_00156	CDS	684				hypothetical protein
DHLAKHBD_00157	CDS	558				hypothetical protein
DHLAKHBD_00158	CDS	624	nth	4.2.99.18	COG0177	Endonuclease III
DHLAKHBD_00159	CDS	348				hypothetical protein
DHLAKHBD_00160	CDS	153				hypothetical protein
DHLAKHBD_00161	CDS	783				hypothetical protein
DHLAKHBD_00162	CDS	1059	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
DHLAKHBD_00163	CDS	288				hypothetical protein
DHLAKHBD_00164	CDS	579	ftnA	1.16.3.2	COG1528	Bacterial non-heme ferritin
DHLAKHBD_00165	CDS	324				hypothetical protein
DHLAKHBD_00166	CDS	597				hypothetical protein
DHLAKHBD_00167	CDS	171				hypothetical protein
DHLAKHBD_00168	CDS	1107	pcbA			Divinyl chlorophyll a/b light-harvesting protein PcbA
DHLAKHBD_00169	CDS	534	ftn	1.16.3.2	COG1528	Bacterial non-heme ferritin
DHLAKHBD_00170	CDS	684				hypothetical protein
DHLAKHBD_00171	CDS	258				hypothetical protein
DHLAKHBD_00172	CDS	720	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
DHLAKHBD_00173	CDS	612				hypothetical protein
DHLAKHBD_00174	CDS	525				hypothetical protein
DHLAKHBD_00175	CDS	168				hypothetical protein
DHLAKHBD_00176	CDS	414				hypothetical protein
DHLAKHBD_00177	tRNA	74				tRNA-Pro(ggg)
DHLAKHBD_00178	CDS	318				hypothetical protein
DHLAKHBD_00179	CDS	150				hypothetical protein
DHLAKHBD_00180	CDS	168				hypothetical protein
DHLAKHBD_00181	CDS	351				hypothetical protein
DHLAKHBD_00182	CDS	444				hypothetical protein
DHLAKHBD_00183	CDS	180				hypothetical protein
DHLAKHBD_00184	CDS	336				hypothetical protein
DHLAKHBD_00185	CDS	396				hypothetical protein
DHLAKHBD_00186	CDS	153				hypothetical protein
DHLAKHBD_00187	CDS	1191	ycf3_1			Photosystem I assembly protein Ycf3
DHLAKHBD_00188	CDS	630				hypothetical protein
DHLAKHBD_00189	CDS	903				hypothetical protein
DHLAKHBD_00190	CDS	195				hypothetical protein
DHLAKHBD_00191	CDS	408				hypothetical protein
DHLAKHBD_00192	CDS	420				hypothetical protein
DHLAKHBD_00193	CDS	315				hypothetical protein
DHLAKHBD_00194	CDS	321				hypothetical protein
DHLAKHBD_00195	CDS	450				hypothetical protein
DHLAKHBD_00196	CDS	1440	gadA	4.1.1.15	COG0076	Glutamate decarboxylase
DHLAKHBD_00197	CDS	921				hypothetical protein
DHLAKHBD_00198	CDS	531				hypothetical protein
DHLAKHBD_00199	CDS	1254				hypothetical protein
DHLAKHBD_00200	CDS	1362	gor	1.8.1.7	COG1249	Glutathione reductase
DHLAKHBD_00201	CDS	1110				hypothetical protein
DHLAKHBD_00202	CDS	1071	pyrC_1	3.5.2.3	COG0418	Dihydroorotase
DHLAKHBD_00203	tRNA	87				tRNA-Leu(taa)
DHLAKHBD_00204	CDS	207	ndhL	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit L
DHLAKHBD_00205	CDS	372				hypothetical protein
DHLAKHBD_00206	CDS	828	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
DHLAKHBD_00207	CDS	372				hypothetical protein
DHLAKHBD_00208	CDS	270				hypothetical protein
DHLAKHBD_00209	CDS	378	petJ_1			Cytochrome c6
DHLAKHBD_00210	CDS	555				hypothetical protein
DHLAKHBD_00211	CDS	531				hypothetical protein
DHLAKHBD_00212	CDS	285				hypothetical protein
DHLAKHBD_00213	CDS	318				hypothetical protein
DHLAKHBD_00214	CDS	372				hypothetical protein
DHLAKHBD_00215	CDS	927	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
DHLAKHBD_00216	CDS	471				hypothetical protein
DHLAKHBD_00217	CDS	633				hypothetical protein
DHLAKHBD_00218	CDS	669	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
DHLAKHBD_00219	CDS	153				hypothetical protein
DHLAKHBD_00220	CDS	186				hypothetical protein
DHLAKHBD_00221	CDS	486				hypothetical protein
DHLAKHBD_00222	CDS	2598	clpB1_1		COG0542	Chaperone protein ClpB 1
DHLAKHBD_00223	CDS	99				hypothetical protein
DHLAKHBD_00224	CDS	216				hypothetical protein
DHLAKHBD_00225	CDS	360	petE		COG3794	Plastocyanin
DHLAKHBD_00226	CDS	1008				hypothetical protein
DHLAKHBD_00227	CDS	1059	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
DHLAKHBD_00228	CDS	2271	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
DHLAKHBD_00229	CDS	768				hypothetical protein
DHLAKHBD_00230	CDS	1644	cocE	3.1.1.84		Cocaine esterase
DHLAKHBD_00231	CDS	267				hypothetical protein
DHLAKHBD_00232	CDS	405				hypothetical protein
DHLAKHBD_00233	CDS	480				hypothetical protein
DHLAKHBD_00234	CDS	4437				hypothetical protein
DHLAKHBD_00235	CDS	915	glcK	2.7.1.2	COG1940	Glucokinase
DHLAKHBD_00236	CDS	1317	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
DHLAKHBD_00237	CDS	414				hypothetical protein
DHLAKHBD_00238	CDS	621				hypothetical protein
DHLAKHBD_00239	CDS	657				hypothetical protein
DHLAKHBD_00240	CDS	567				hypothetical protein
DHLAKHBD_00241	CDS	1086				hypothetical protein
DHLAKHBD_00242	CDS	210				hypothetical protein
DHLAKHBD_00243	CDS	1602				hypothetical protein
DHLAKHBD_00244	CDS	1491				hypothetical protein
DHLAKHBD_00245	CDS	2148	prlC	3.4.24.70	COG0339	Oligopeptidase A
DHLAKHBD_00246	CDS	1572	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
DHLAKHBD_00247	CDS	951	thrB	2.7.1.39	COG0083	Homoserine kinase
DHLAKHBD_00248	CDS	1062	glk	2.7.1.2	COG0837	Glucokinase
DHLAKHBD_00249	CDS	1923	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
DHLAKHBD_00250	CDS	174				hypothetical protein
DHLAKHBD_00251	CDS	141				hypothetical protein
DHLAKHBD_00252	CDS	606				hypothetical protein
DHLAKHBD_00253	CDS	1014	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
DHLAKHBD_00254	CDS	603				hypothetical protein
DHLAKHBD_00255	CDS	1368				hypothetical protein
DHLAKHBD_00256	CDS	303				hypothetical protein
DHLAKHBD_00257	CDS	186				hypothetical protein
DHLAKHBD_00258	CDS	168				hypothetical protein
DHLAKHBD_00259	CDS	237				hypothetical protein
DHLAKHBD_00260	CDS	141				hypothetical protein
DHLAKHBD_00261	CDS	120				hypothetical protein
DHLAKHBD_00262	CDS	405				hypothetical protein
DHLAKHBD_00263	CDS	240				hypothetical protein
DHLAKHBD_00264	CDS	465				hypothetical protein
DHLAKHBD_00265	CDS	195				hypothetical protein
DHLAKHBD_00266	CDS	276				hypothetical protein
DHLAKHBD_00267	CDS	246				hypothetical protein
DHLAKHBD_00268	CDS	285				hypothetical protein
DHLAKHBD_00269	CDS	129				hypothetical protein
DHLAKHBD_00270	CDS	1005	ycf3_2			Photosystem I assembly protein Ycf3
DHLAKHBD_00271	CDS	336				hypothetical protein
DHLAKHBD_00272	CDS	309				hypothetical protein
DHLAKHBD_00273	CDS	348				hypothetical protein
DHLAKHBD_00274	CDS	237				hypothetical protein
DHLAKHBD_00275	CDS	294				hypothetical protein
DHLAKHBD_00276	CDS	111				hypothetical protein
DHLAKHBD_00277	CDS	306				hypothetical protein
DHLAKHBD_00278	CDS	315				hypothetical protein
DHLAKHBD_00279	CDS	552				hypothetical protein
DHLAKHBD_00280	CDS	840				hypothetical protein
DHLAKHBD_00281	CDS	234				hypothetical protein
DHLAKHBD_00282	CDS	1098				hypothetical protein
DHLAKHBD_00283	rRNA	1480				16S ribosomal RNA
DHLAKHBD_00284	tRNA	76				tRNA-Ile(gat)
DHLAKHBD_00285	tRNA	74				tRNA-Ala(tgc)
DHLAKHBD_00286	rRNA	2874				23S ribosomal RNA
DHLAKHBD_00287	CDS	150				hypothetical protein
DHLAKHBD_00288	CDS	243				hypothetical protein
DHLAKHBD_00289	CDS	234				hypothetical protein
DHLAKHBD_00290	CDS	210				hypothetical protein
DHLAKHBD_00291	CDS	981				hypothetical protein
DHLAKHBD_00292	CDS	216		3.2.2.-		Putative 3-methyladenine DNA glycosylase
DHLAKHBD_00293	CDS	177				hypothetical protein
DHLAKHBD_00294	CDS	1077				hypothetical protein
DHLAKHBD_00295	CDS	648				hypothetical protein
DHLAKHBD_00296	CDS	1443	sufB		COG0719	FeS cluster assembly protein SufB
DHLAKHBD_00297	CDS	789	sufC		COG0396	putative ATP-dependent transporter SufC
DHLAKHBD_00298	CDS	1251	sufD		COG0719	FeS cluster assembly protein SufD
DHLAKHBD_00299	CDS	1305	csd	2.8.1.7		putative cysteine desulfurase
DHLAKHBD_00300	CDS	1959				hypothetical protein
DHLAKHBD_00301	CDS	606	def_1	3.5.1.88		Peptide deformylase
DHLAKHBD_00302	CDS	714				hypothetical protein
DHLAKHBD_00303	CDS	117				hypothetical protein
DHLAKHBD_00304	CDS	240				hypothetical protein
DHLAKHBD_00305	CDS	276				hypothetical protein
DHLAKHBD_00306	CDS	531				hypothetical protein
DHLAKHBD_00307	CDS	366	comM		COG0606	Competence protein ComM
DHLAKHBD_00308	CDS	132				hypothetical protein
DHLAKHBD_00309	CDS	342		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
DHLAKHBD_00310	CDS	2004				hypothetical protein
DHLAKHBD_00311	CDS	267				hypothetical protein
DHLAKHBD_00312	CDS	507				hypothetical protein
DHLAKHBD_00313	CDS	402				hypothetical protein
DHLAKHBD_00314	CDS	981				hypothetical protein
DHLAKHBD_00315	CDS	120	psbX			Photosystem II reaction center X protein
DHLAKHBD_00316	CDS	360				hypothetical protein
DHLAKHBD_00317	CDS	1347	accC	6.3.4.14	COG0439	Biotin carboxylase
DHLAKHBD_00318	tRNA	82				tRNA-Leu(gag)
DHLAKHBD_00319	CDS	435	msrB_1	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
DHLAKHBD_00320	CDS	1035				hypothetical protein
DHLAKHBD_00321	CDS	3555	smc			Chromosome partition protein Smc
DHLAKHBD_00322	CDS	174				hypothetical protein
DHLAKHBD_00323	CDS	180				hypothetical protein
DHLAKHBD_00324	CDS	120				hypothetical protein
DHLAKHBD_00325	CDS	177				hypothetical protein
DHLAKHBD_00326	CDS	465				hypothetical protein
DHLAKHBD_00327	CDS	387				hypothetical protein
DHLAKHBD_00328	CDS	90				hypothetical protein
DHLAKHBD_00329	CDS	114				hypothetical protein
DHLAKHBD_00330	CDS	1125	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
DHLAKHBD_00331	tmRNA	323	ssrA			transfer-messenger RNA, SsrA
DHLAKHBD_00332	CDS	246				hypothetical protein
DHLAKHBD_00333	CDS	765				hypothetical protein
DHLAKHBD_00334	CDS	681	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
DHLAKHBD_00335	CDS	1176				hypothetical protein
DHLAKHBD_00336	CDS	1200				hypothetical protein
DHLAKHBD_00337	CDS	1023	mdtA			Multidrug resistance protein MdtA
DHLAKHBD_00338	CDS	363				hypothetical protein
DHLAKHBD_00339	CDS	258				hypothetical protein
DHLAKHBD_00340	CDS	858				hypothetical protein
DHLAKHBD_00341	CDS	858				hypothetical protein
DHLAKHBD_00342	CDS	222				hypothetical protein
DHLAKHBD_00343	CDS	327	yhaI		COG3152	Inner membrane protein YhaI
DHLAKHBD_00344	CDS	201				hypothetical protein
DHLAKHBD_00345	CDS	105				hypothetical protein
DHLAKHBD_00346	CDS	228				hypothetical protein
DHLAKHBD_00347	CDS	1299		1.14.-.-		Putative cytochrome P450 120
DHLAKHBD_00348	CDS	237				hypothetical protein
DHLAKHBD_00349	CDS	306				hypothetical protein
DHLAKHBD_00350	CDS	285				hypothetical protein
DHLAKHBD_00351	CDS	315				hypothetical protein
DHLAKHBD_00352	CDS	141				hypothetical protein
DHLAKHBD_00353	CDS	465				hypothetical protein
DHLAKHBD_00354	CDS	126				hypothetical protein
DHLAKHBD_00355	CDS	171				hypothetical protein
DHLAKHBD_00356	CDS	216				hypothetical protein
DHLAKHBD_00357	CDS	270				hypothetical protein
DHLAKHBD_00358	CDS	105				hypothetical protein
DHLAKHBD_00359	CDS	231				hypothetical protein
DHLAKHBD_00360	CDS	93				hypothetical protein
DHLAKHBD_00361	CDS	1089	crtNb	1.14.99.44		4,4'-diapolycopene oxygenase
DHLAKHBD_00362	CDS	1710		1.18.1.2		Ferredoxin--NADP reductase
DHLAKHBD_00363	CDS	177				hypothetical protein
DHLAKHBD_00364	CDS	90				hypothetical protein
DHLAKHBD_00365	CDS	336				hypothetical protein
DHLAKHBD_00366	CDS	792	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
DHLAKHBD_00367	CDS	609				hypothetical protein
DHLAKHBD_00368	CDS	225				hypothetical protein
DHLAKHBD_00369	CDS	1386				hypothetical protein
DHLAKHBD_00370	CDS	237				hypothetical protein
DHLAKHBD_00371	CDS	339				hypothetical protein
DHLAKHBD_00372	CDS	954	trxB	1.8.1.9	COG0492	Thioredoxin reductase
DHLAKHBD_00373	CDS	633	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
DHLAKHBD_00374	CDS	510				hypothetical protein
DHLAKHBD_00375	CDS	960	cbpA		COG2214	Curved DNA-binding protein
DHLAKHBD_00376	CDS	1002	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
DHLAKHBD_00377	CDS	2487	mutS2	3.1.-.-		Endonuclease MutS2
DHLAKHBD_00378	CDS	1248	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
DHLAKHBD_00379	CDS	990	obgE	3.6.5.-	COG0536	GTPase ObgE/CgtA
DHLAKHBD_00380	CDS	183				hypothetical protein
DHLAKHBD_00381	CDS	444				hypothetical protein
DHLAKHBD_00382	CDS	222				hypothetical protein
DHLAKHBD_00383	CDS	1959	ettA		COG0488	Energy-dependent translational throttle protein EttA
DHLAKHBD_00384	CDS	675				hypothetical protein
DHLAKHBD_00385	CDS	927	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
DHLAKHBD_00386	CDS	1008		3.5.1.15		aspartoacylase
DHLAKHBD_00387	CDS	375				hypothetical protein
DHLAKHBD_00388	CDS	387				hypothetical protein
DHLAKHBD_00389	CDS	306				hypothetical protein
DHLAKHBD_00390	CDS	627				hypothetical protein
DHLAKHBD_00391	CDS	1680				hypothetical protein
DHLAKHBD_00392	CDS	1491	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
DHLAKHBD_00393	CDS	246	nfuA			Fe/S biogenesis protein NfuA
DHLAKHBD_00394	CDS	990				hypothetical protein
DHLAKHBD_00395	CDS	510	lemA		COG1704	Protein LemA
DHLAKHBD_00396	CDS	171				hypothetical protein
DHLAKHBD_00397	CDS	234				hypothetical protein
DHLAKHBD_00398	CDS	405				hypothetical protein
DHLAKHBD_00399	CDS	237				hypothetical protein
DHLAKHBD_00400	CDS	3225				hypothetical protein
DHLAKHBD_00401	CDS	1140				hypothetical protein
DHLAKHBD_00402	CDS	273				hypothetical protein
DHLAKHBD_00403	CDS	258				hypothetical protein
DHLAKHBD_00404	CDS	228				hypothetical protein
DHLAKHBD_00405	CDS	237				hypothetical protein
DHLAKHBD_00406	CDS	99				hypothetical protein
DHLAKHBD_00407	CDS	288				hypothetical protein
DHLAKHBD_00408	CDS	276				hypothetical protein
DHLAKHBD_00409	CDS	264				hypothetical protein
DHLAKHBD_00410	CDS	246				hypothetical protein
DHLAKHBD_00411	CDS	264				hypothetical protein
DHLAKHBD_00412	CDS	276				hypothetical protein
DHLAKHBD_00413	CDS	297				hypothetical protein
DHLAKHBD_00414	CDS	303				hypothetical protein
DHLAKHBD_00415	CDS	330				hypothetical protein
DHLAKHBD_00416	CDS	258				hypothetical protein
DHLAKHBD_00417	CDS	270				hypothetical protein
DHLAKHBD_00418	CDS	249				hypothetical protein
DHLAKHBD_00419	CDS	291				hypothetical protein
DHLAKHBD_00420	CDS	345				hypothetical protein
DHLAKHBD_00421	CDS	813	cysQ_1	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
DHLAKHBD_00422	CDS	1740				hypothetical protein
DHLAKHBD_00423	CDS	1398				hypothetical protein
DHLAKHBD_00424	CDS	900	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
